"Time Period","Activities","Total Distance","Average Distance","Max Distance","Total Activity Time","Activity Calories","Total Ascent","Average Speed","Average Pace","Average Heart Rate","Average Run Cadence"
"Feb 2024","37","230.35 km","6.23 km","30.31 km","24:15:25 h:m:s","15,806","3,401 m","9.5 kph","6:19 /km","136 bpm","147 spm"
"Jan 2024","31","187.18 km","6.04 km","13.46 km","24:51:31 h:m:s","14,317","2,634 m","7.5 kph","7:58 /km","136 bpm","147 spm"
"Dec 2023","28","130.24 km","4.65 km","10.37 km","18:26:32 h:m:s","11,907","2,373 m","7.1 kph","8:30 /km","135 bpm","135 spm"
"Nov 2023","28","113.50 km","4.05 km","12.52 km","17:42:00 h:m:s","9,437","2,600 m","6.4 kph","9:21 /km","123 bpm","143 spm"
"Oct 2023","28","108.09 km","3.86 km","19.43 km","16:28:29 h:m:s","8,449","2,553 m","6.6 kph","9:09 /km","123 bpm","143 spm"
"Sep 2023","39","253.63 km","6.50 km","31.87 km","21:42:50 h:m:s","11,898","2,865 m","11.7 kph","5:08 /km","130 bpm","154 spm"
"Aug 2023","32","162.12 km","5.07 km","17.49 km","14:26:40 h:m:s","8,579","2,033 m","11.2 kph","5:21 /km","139 bpm","150 spm"
"Jul 2023","33","276.65 km","8.38 km","44.96 km","22:47:06 h:m:s","11,212","3,559 m","12.1 kph","4:57 /km","135 bpm","146 spm"
"Jun 2023","21","108.91 km","5.19 km","14.21 km","14:11:05 h:m:s","6,359","2,112 m","7.7 kph","7:49 /km","123 bpm","130 spm"
"May 2023","37","177.73 km","4.80 km","26.02 km","17:53:55 h:m:s","8,128","1,836 m","9.9 kph","6:03 /km","126 bpm","137 spm"
"Apr 2023","29","141.46 km","4.88 km","12.21 km","15:37:18 h:m:s","9,674","2,467 m","9.1 kph","6:38 /km","158 bpm","154 spm"
"Mar 2023","26","167.18 km","6.43 km","20.66 km","19:24:36 h:m:s","11,063","2,355 m","8.6 kph","6:58 /km","107 bpm","146 spm"
"Feb 2023","20","101.14 km","5.06 km","13.02 km","14:32:08 h:m:s","8,850","2,666 m","7.0 kph","8:37 /km","110 bpm","140 spm"
"Jan 2023","27","130.23 km","4.82 km","12.58 km","20:03:58 h:m:s","11,224","4,895 m","6.5 kph","9:15 /km","119 bpm","141 spm"
"Dec 2022","30","108.51 km","3.62 km","11.77 km","20:08:23 h:m:s","11,100","3,754 m","5.4 kph","11:08 /km","122 bpm","137 spm"
"Nov 2022","25","169.04 km","6.76 km","16.87 km","20:11:10 h:m:s","12,627","3,161 m","8.4 kph","7:10 /km","125 bpm","143 spm"
"Oct 2022","14","131.39 km","9.39 km","16.41 km","14:27:52 h:m:s","10,064","3,327 m","9.1 kph","6:36 /km","108 bpm","153 spm"
"Sep 2022","27","194.50 km","7.20 km","20.97 km","20:13:17 h:m:s","12,860","3,681 m","9.6 kph","6:14 /km","131 bpm","150 spm"
"Aug 2022","27","207.62 km","7.69 km","30.22 km","19:17:44 h:m:s","12,842","2,745 m","10.8 kph","5:35 /km","143 bpm","118 spm"
"Jul 2022","34","219.78 km","6.46 km","18.03 km","18:29:45 h:m:s","12,668","1,527 m","11.9 kph","5:03 /km","140 bpm","157 spm"
"Jun 2022","35","238.17 km","6.80 km","22.49 km","21:41:50 h:m:s","13,037","3,086 m","11.0 kph","5:28 /km","111 bpm","140 spm"
"May 2022","41","302.66 km","7.38 km","30.04 km","27:04:11 h:m:s","17,601","3,951 m","11.2 kph","5:22 /km","159 bpm","154 spm"
"Apr 2022","34","247.59 km","7.28 km","15.56 km","25:27:28 h:m:s","15,551","3,462 m","9.7 kph","6:10 /km","123 bpm","151 spm"
"Mar 2022","34","228.21 km","6.71 km","11.29 km","24:14:07 h:m:s","17,238","3,563 m","9.4 kph","6:22 /km","--","154 spm"
"Feb 2022","33","240.95 km","7.30 km","20.17 km","25:16:13 h:m:s","16,289","4,286 m","9.5 kph","6:18 /km","128 bpm","150 spm"
"Jan 2022","36","229.28 km","6.37 km","18.53 km","30:49:31 h:m:s","18,916","4,173 m","7.4 kph","8:04 /km","137 bpm","145 spm"
"Dec 2021","26","234.58 km","9.02 km","16.47 km","25:25:07 h:m:s","15,803","2,770 m","9.2 kph","6:30 /km","147 bpm","143 spm"
"Nov 2021","26","223.14 km","8.58 km","17.01 km","23:31:31 h:m:s","14,064","3,318 m","9.5 kph","6:20 /km","153 bpm","157 spm"
"Oct 2021","21","171.52 km","8.17 km","21.41 km","18:56:36 h:m:s","10,537","3,035 m","9.1 kph","6:38 /km","149 bpm","151 spm"
"Sep 2021","21","148.18 km","7.06 km","14.01 km","16:45:36 h:m:s","9,818","2,269 m","8.8 kph","6:47 /km","--","139 spm"
"Aug 2021","20","138.72 km","6.94 km","10.16 km","13:37:39 h:m:s","9,392","1,510 m","10.2 kph","5:54 /km","--","152 spm"
"Jul 2021","16","129.52 km","8.09 km","12.03 km","12:36:01 h:m:s","8,803","1,711 m","10.3 kph","5:50 /km","--","156 spm"
"Jun 2021","20","144.65 km","7.23 km","12.02 km","15:45:36 h:m:s","9,535","2,062 m","9.2 kph","6:32 /km","--","144 spm"
"May 2021","15","141.08 km","9.41 km","14.05 km","14:28:06 h:m:s","9,270","1,947 m","9.8 kph","6:09 /km","--","150 spm"
"Apr 2021","17","126.85 km","7.46 km","11.01 km","13:42:14 h:m:s","8,237","1,797 m","9.3 kph","6:29 /km","--","148 spm"
"Mar 2021","18","120.93 km","6.72 km","9.70 km","13:14:22 h:m:s","7,567","1,769 m","9.1 kph","6:34 /km","--","146 spm"
"Feb 2021","16","111.57 km","6.97 km","10.27 km","10:58:20 h:m:s","7,588","1,085 m","10.2 kph","5:54 /km","--","155 spm"
"Jan 2021","13","93.75 km","7.21 km","15.00 km","9:29:59 h:m:s","6,352","1,159 m","9.9 kph","6:05 /km","--","156 spm"
"Dec 2020","14","117.70 km","8.41 km","12.04 km","11:11:02 h:m:s","8,039","970 m","10.5 kph","5:42 /km","--","156 spm"
"Nov 2020","12","90.39 km","7.53 km","10.36 km","8:28:29 h:m:s","6,216","405 m","10.7 kph","5:38 /km","--","156 spm"
"Oct 2020","12","96.60 km","8.05 km","16.92 km","10:20:22 h:m:s","6,364","1,143 m","9.3 kph","6:25 /km","--","149 spm"
"Sep 2020","18","132.18 km","7.34 km","12.61 km","13:39:52 h:m:s","8,927","2,137 m","9.7 kph","6:12 /km","--","148 spm"
"Aug 2020","14","121.01 km","8.64 km","12.01 km","12:28:00 h:m:s","8,086","1,834 m","9.7 kph","6:11 /km","--","147 spm"
"Jul 2020","17","134.68 km","7.92 km","10.15 km","13:09:56 h:m:s","9,006","1,524 m","10.2 kph","5:52 /km","--","151 spm"
"Jun 2020","12","89.73 km","7.48 km","10.20 km","8:13:00 h:m:s","6,144","718 m","10.9 kph","5:30 /km","--","155 spm"
"May 2020","14","101.06 km","7.22 km","10.03 km","9:38:31 h:m:s","6,871","1,343 m","10.5 kph","5:43 /km","--","151 spm"
"Apr 2020","12","90.33 km","7.53 km","10.00 km","8:38:15 h:m:s","6,175","1,111 m","10.5 kph","5:44 /km","--","154 spm"
"Mar 2020","8","52.85 km","6.61 km","8.64 km","5:08:07 h:m:s","3,652","385 m","10.3 kph","5:50 /km","--","150 spm"
"Feb 2020","10","68.12 km","6.81 km","10.02 km","6:30:21 h:m:s","4,676","659 m","10.5 kph","5:44 /km","--","153 spm"
"Jan 2020","9","52.13 km","5.79 km","8.10 km","5:06:52 h:m:s","3,614","407 m","10.2 kph","5:53 /km","--","152 spm"
"Dec 2019","5","22.02 km","4.40 km","5.40 km","2:11:22 h:m:s","1,513","229 m","10.1 kph","5:58 /km","--","150 spm"
"Nov 2019","6","23.34 km","3.89 km","5.56 km","2:21:21 h:m:s","1,608","88 m","9.9 kph","6:03 /km","--","148 spm"
"Oct 2019","8","41.89 km","5.24 km","9.70 km","4:47:27 h:m:s","2,761","572 m","8.7 kph","6:52 /km","--","143 spm"
"Sep 2019","6","18.25 km","3.04 km","5.04 km","1:52:15 h:m:s","1,243","130 m","9.8 kph","6:09 /km","--","147 spm"
"Aug 2019","7","38.55 km","5.51 km","8.57 km","5:58:29 h:m:s","2,226","1,219 m","6.5 kph","9:18 /km","--","122 spm"
"Jul 2019","18","100.12 km","5.56 km","9.13 km","9:41:15 h:m:s","6,860","778 m","10.3 kph","5:48 /km","--","143 spm"
"Jun 2019","16","99.55 km","6.22 km","11.70 km","10:28:36 h:m:s","6,657","1,237 m","9.5 kph","6:19 /km","--","142 spm"
"May 2019","14","71.60 km","5.11 km","7.50 km","6:40:10 h:m:s","4,891","703 m","10.7 kph","5:35 /km","--","152 spm"
"Apr 2019","16","81.20 km","5.08 km","8.22 km","7:50:34 h:m:s","5,517","917 m","10.4 kph","5:48 /km","--","150 spm"
"Mar 2019","15","86.31 km","5.75 km","10.62 km","8:27:29 h:m:s","5,879","1,131 m","10.2 kph","5:53 /km","--","148 spm"
"Feb 2019","14","67.68 km","4.83 km","8.20 km","6:27:11 h:m:s","4,684","529 m","10.5 kph","5:43 /km","--","150 spm"
"Jan 2019","9","50.02 km","5.56 km","7.60 km","4:44:13 h:m:s","3,454","250 m","10.6 kph","5:41 /km","--","150 spm"
"Dec 2018","6","34.38 km","5.73 km","7.80 km","3:15:44 h:m:s","2,375","199 m","10.5 kph","5:42 /km","--","151 spm"
"Nov 2018","12","65.44 km","5.45 km","7.54 km","6:10:11 h:m:s","4,048","372 m","10.6 kph","5:39 /km","--","149 spm"
"Oct 2018","13","72.15 km","5.55 km","9.30 km","6:42:25 h:m:s","4,982","475 m","10.8 kph","5:35 /km","--","150 spm"
"Sep 2018","11","75.43 km","6.86 km","9.50 km","6:46:10 h:m:s","5,201","581 m","11.1 kph","5:23 /km","--","151 spm"
"Aug 2018","20","120.62 km","6.03 km","9.48 km","11:50:01 h:m:s","8,156","1,550 m","10.2 kph","5:53 /km","--","147 spm"
"Jul 2018","15","76.11 km","5.07 km","9.24 km","7:00:31 h:m:s","5,254","396 m","10.9 kph","5:32 /km","--","151 spm"
"Jun 2018","14","91.14 km","6.51 km","12.35 km","8:30:20 h:m:s","6,237","1,186 m","10.7 kph","5:36 /km","--","152 spm"
"May 2018","19","132.18 km","6.96 km","10.81 km","12:45:34 h:m:s","8,905","2,225 m","10.4 kph","5:48 /km","--","153 spm"
"Apr 2018","4","22.00 km","5.50 km","7.12 km","2:00:13 h:m:s","1,514","60 m","11.0 kph","5:28 /km","--","146 spm"
"Jan 2018","3","20.03 km","6.68 km","10.02 km","1:57:37 h:m:s","1,380","133 m","10.2 kph","5:52 /km","--","153 spm"
"Dec 2017","9","56.40 km","6.27 km","9.00 km","5:36:41 h:m:s","3,829","492 m","10.1 kph","5:58 /km","--","149 spm"
"Nov 2017","2","5.14 km","2.57 km","5.01 km","1:01:34 h:m:s","351","53 m","5.0 kph","11:58 /km","--","79 spm"
"Oct 2017","8","55.03 km","6.88 km","8.41 km","5:13:21 h:m:s","3,754","387 m","10.5 kph","5:42 /km","--","155 spm"
"Sep 2017","20","118.22 km","5.91 km","10.30 km","13:50:48 h:m:s","7,869","1,239 m","8.5 kph","7:02 /km","--","137 spm"
"Jul 2017","1","3.55 km","3.55 km","3.55 km","21:53 h:m:s","254","5 m","9.7 kph","6:10 /km","--","156 spm"
"Jun 2017","1","3.30 km","3.30 km","3.30 km","19:13 h:m:s","226","4 m","10.3 kph","5:49 /km","--","156 spm"
"May 2017","7","49.64 km","7.09 km","8.20 km","4:42:41 h:m:s","3,396","579 m","10.5 kph","5:42 /km","--","157 spm"
"Apr 2017","23","188.36 km","8.19 km","16.44 km","18:47:30 h:m:s","12,659","2,281 m","10.0 kph","5:59 /km","--","155 spm"
"Mar 2017","26","216.20 km","8.32 km","15.26 km","21:14:13 h:m:s","14,527","2,533 m","10.2 kph","5:54 /km","--","154 spm"
"Feb 2017","15","107.31 km","7.15 km","10.34 km","9:51:55 h:m:s","7,375","657 m","10.9 kph","5:31 /km","--","159 spm"
"Jan 2017","3","14.96 km","4.99 km","5.75 km","1:23:05 h:m:s","1,027","130 m","10.8 kph","5:33 /km","--","160 spm"
"Dec 2016","11","88.35 km","8.03 km","10.62 km","8:08:31 h:m:s","6,095","867 m","10.9 kph","5:32 /km","157 bpm","160 spm"
"Nov 2016","22","172.76 km","7.85 km","11.96 km","17:12:11 h:m:s","11,606","1,841 m","10.0 kph","5:58 /km","159 bpm","153 spm"
"Oct 2016","19","152.55 km","8.03 km","16.72 km","14:47:09 h:m:s","10,600","2,674 m","10.3 kph","5:49 /km","--","156 spm"
"Sep 2016","11","90.48 km","8.23 km","19.18 km","7:42:31 h:m:s","6,185","340 m","11.7 kph","5:07 /km","--","144 spm"
"Aug 2016","6","36.54 km","6.09 km","9.24 km","3:19:15 h:m:s","2,470","230 m","11.0 kph","5:27 /km","165 bpm","158 spm"
"Jul 2016","7","44.54 km","6.36 km","8.44 km","3:52:17 h:m:s","3,067","208 m","11.5 kph","5:13 /km","--","158 spm"
"Jun 2016","15","112.85 km","7.52 km","14.14 km","10:07:15 h:m:s","7,115","474 m","11.1 kph","5:23 /km","153 bpm","158 spm"
"May 2016","30","256.13 km","8.54 km","22.56 km","25:02:14 h:m:s","15,099","2,023 m","10.2 kph","5:52 /km","145 bpm","146 spm"
"Apr 2016","44","404.85 km","9.20 km","20.43 km","42:30:26 h:m:s","24,244","4,676 m","9.5 kph","6:18 /km","145 bpm","139 spm"
"Mar 2016","38","363.12 km","9.56 km","20.01 km","33:56:08 h:m:s","22,041","4,601 m","10.7 kph","5:36 /km","149 bpm","152 spm"
"Feb 2016","39","345.74 km","8.87 km","18.20 km","31:29:06 h:m:s","20,045","3,886 m","11.0 kph","5:28 /km","146 bpm","155 spm"
"Jan 2016","32","386.28 km","12.07 km","20.72 km","36:28:47 h:m:s","22,349","3,707 m","10.6 kph","5:40 /km","147 bpm","147 spm"
"Dec 2015","32","376.20 km","11.76 km","19.20 km","33:14:40 h:m:s","23,683","3,794 m","11.3 kph","5:18 /km","152 bpm","149 spm"
"Nov 2015","30","353.17 km","11.77 km","20.14 km","32:20:09 h:m:s","20,105","4,238 m","10.9 kph","5:30 /km","146 bpm","148 spm"
"Oct 2015","33","361.40 km","10.95 km","24.05 km","34:01:51 h:m:s","24,245","2,878 m","10.6 kph","5:39 /km","--","145 spm"
"Sep 2015","32","337.24 km","10.54 km","19.85 km","32:00:18 h:m:s","22,049","3,826 m","10.5 kph","5:42 /km","135 bpm","--"
"Aug 2015","36","309.27 km","8.59 km","17.05 km","30:07:48 h:m:s","17,453","4,930 m","10.3 kph","5:51 /km","144 bpm","--"
"Jul 2015","38","301.50 km","7.93 km","17.76 km","27:55:10 h:m:s","17,943","4,627 m","10.8 kph","5:33 /km","134 bpm","--"
"Jun 2015","32","311.14 km","9.72 km","23.01 km","29:27:16 h:m:s","15,912","5,523 m","10.6 kph","5:41 /km","145 bpm","--"
"May 2015","33","290.85 km","9.09 km","15.40 km","28:43:27 h:m:s","17,376","3,607 m","10.1 kph","5:56 /km","150 bpm","--"
"Apr 2015","37","316.32 km","8.55 km","18.60 km","32:57:29 h:m:s","19,088","6,732 m","9.6 kph","6:15 /km","148 bpm","--"
"Mar 2015","36","280.44 km","8.01 km","16.86 km","29:28:23 h:m:s","18,118","5,348 m","9.5 kph","6:18 /km","149 bpm","--"
"Feb 2015","34","268.13 km","8.38 km","16.17 km","24:27:44 h:m:s","15,917","3,663 m","11.0 kph","5:28 /km","150 bpm","--"
"Jan 2015","39","318.33 km","8.84 km","20.90 km","28:19:53 h:m:s","18,793","5,593 m","11.2 kph","5:20 /km","151 bpm","--"
"Dec 2014","33","260.18 km","8.13 km","20.01 km","25:25:06 h:m:s","17,864","4,106 m","10.2 kph","5:52 /km","139 bpm","--"
"Nov 2014","24","170.52 km","7.41 km","12.00 km","15:58:52 h:m:s","11,684","2,765 m","10.7 kph","5:37 /km","--","--"
"Oct 2014","22","152.89 km","6.95 km","19.14 km","14:38:43 h:m:s","10,420","2,739 m","10.4 kph","5:45 /km","--","--"
"Sep 2014","23","159.39 km","6.93 km","13.49 km","15:48:14 h:m:s","10,720","3,091 m","10.1 kph","5:57 /km","--","--"
"Aug 2014","20","96.85 km","4.84 km","9.45 km","12:44:19 h:m:s","6,473","1,994 m","7.6 kph","7:54 /km","--","--"
"Jul 2014","28","159.25 km","5.69 km","13.02 km","18:41:05 h:m:s","10,316","2,976 m","8.5 kph","7:02 /km","--","--"
"Jun 2014","17","82.41 km","4.85 km","18.92 km","8:20:58 h:m:s","5,155","1,751 m","9.9 kph","6:05 /km","--","--"
"May 2014","20","118.09 km","5.90 km","12.19 km","12:46:34 h:m:s","7,829","2,135 m","9.2 kph","6:29 /km","--","--"
"Apr 2014","37","245.82 km","6.83 km","13.59 km","24:25:37 h:m:s","16,320","4,816 m","10.1 kph","5:58 /km","--","--"
"Mar 2014","39","247.64 km","6.52 km","14.76 km","21:07:17 h:m:s","16,038","2,762 m","11.7 kph","5:07 /km","--","--"
"Feb 2014","31","261.35 km","9.33 km","18.26 km","22:11:46 h:m:s","17,371","3,257 m","11.8 kph","5:06 /km","--","--"
"Jan 2014","29","216.95 km","7.48 km","22.01 km","19:00:20 h:m:s","14,688","2,589 m","11.4 kph","5:15 /km","--","--"
"Jul 2013","41","175.57 km","4.28 km","16.01 km","16:35:49 h:m:s","11,543","2,559 m","10.6 kph","5:40 /km","--","--"
"Jun 2013","22","119.69 km","5.44 km","10.59 km","12:24:26 h:m:s","7,779","1,725 m","9.6 kph","6:13 /km","--","--"
"Summary","2,605","18,710.28 km","6.87 km","44.96 km","1889:29:59 h:m:s","1,208,842","259,004 m","9.9 kph","6:03 /km","138 bpm","148 spm"